회사명,종목코드,티커,시장구분,업종,주요제품,상장일,결산월,대표자,홈페이지,주소지,alias
3S,60310,060310.KQ,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",반도체 웨이퍼 캐리어,2002-04-23,03월,김세완,http://www.3sref.com,서울특별시,"3s, 3S"
가비아,79940,079940.KQ,KOSDAQ,소프트웨어 개발 및 공급업,"도메인,호스팅",2005-10-19,12월,"김홍국, 원종홍 (공동대표이사)",http://www.gabia.com,경기도,가비아
가온그룹,78890,078890.KQ,KOSDAQ,통신 및 방송 장비 제조업,디지털셋톱박스,2005-07-12,12월,임동연,http://www.kaonmedia.com,경기도,가온그룹
가온전선,500,000500.KS,KOSPI,절연선 및 케이블 제조업,"전력선,통신케이블 제조,도매,수출입",1987-06-08,12월,정 현,http://www.gaoncable.com,경기도,가온전선
가온칩스,399720,399720.KQ,KOSDAQ,반도체 제조업,설계 솔루션 및 주문형 반도체,2022-05-20,12월,정규동,http://www.gaonchips.com,경기도,가온칩스
가이아코퍼레이션,296520,296520.KQ,KONEX,생활용품 도매업,"유아용품, 완구, 굿즈",2023-06-20,12월,나원석,http://gaiabiz.co.kr,경기도,가이아코퍼레이션
감성코퍼레이션,36620,036620.KQ,KOSDAQ,기타 전문 도매업,"의류, 의류디자인, 휴대폰 주변기기",2000-01-11,12월,김호선,http://www.gamsungcorp.co.kr,서울특별시,감성코퍼레이션
강남제비스코,860,000860.KS,KOSPI,기타 화학제품 제조업,"도료(페인트,락카,신나,에나멜,바니쉬),안료 제조,판매",1975-11-12,12월,"황익준,김재현(각자대표이사)",http://www.jevisco.com,부산광역시,강남제비스코
강동씨앤엘,198440,198440.KQ,KOSDAQ,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘",2014-08-13,12월,"구희택, 이훈창",http://koreacement.co.kr,전라남도,강동씨앤엘
강스템바이오텍,217730,217730.KQ,KOSDAQ,기초 의약물질 제조업,줄기세포치료제,2015-12-21,12월,나종천,http://www.kangstem.com,서울특별시,강스템바이오텍
강원랜드,35250,035250.KS,KOSPI,유원지 및 기타 오락관련 서비스업,"카지노,관광호텔,골프장,스키장,체육시설 운영",2003-09-04,12월,최철규,http://kangwonland.high1.com,강원특별자치도,강원랜드
강원에너지,114190,114190.KQ,KOSDAQ,기타 전기장비 제조업,플랜트설비(산업용 보일러),2009-11-20,12월,"신진용,유승주",http://kwenergy.co.kr,전북특별자치도,강원에너지
갤럭시아머니트리,94480,094480.KQ,KOSDAQ,소프트웨어 개발 및 공급업,전자결제,2007-07-20,12월,신동훈,http://www.galaxiamoneytree.co.kr,서울특별시,갤럭시아머니트리
갤럭시아에스엠,11420,011420.KS,KOSPI,스포츠 서비스업,"스포츠중계권,스포츠마케팅,광고",1989-11-14,12월,이반석,http://galaxiasme.com,서울특별시,갤럭시아에스엠
